,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Tuktoyaktuk,69.4541,-133.0374,24.8,light snow,80,100,28.77,CA
1,Korop,51.5664,32.9586,26.1,overcast clouds,59,100,12.35,UA
2,Mataura,-46.1927,168.8643,63.03,overcast clouds,50,98,10.85,NZ
3,New Norfolk,-42.7826,147.0587,59.92,overcast clouds,50,99,1.79,AU
4,Acarau,-2.8856,-40.12,79.9,few clouds,78,11,16.93,BR
5,Thompson,55.7435,-97.8558,-11.04,few clouds,70,20,11.5,CA
6,Hilo,19.7297,-155.09,83.28,light rain,87,100,12.66,US
7,Ancud,-41.8697,-73.8203,56.68,light rain,81,88,9.84,CL
8,Rikitea,-23.1203,-134.9692,74.62,scattered clouds,74,36,12.86,PF
9,Albany,42.6001,-73.9662,52.95,light rain,84,100,3.0,US
10,Hami,42.8,93.45,19.54,clear sky,50,6,5.26,CN
11,Hobart,-42.8794,147.3294,60.26,broken clouds,81,75,4.61,AU
12,Ukiah,39.1502,-123.2078,51.15,mist,92,100,0.0,US
13,Kapaa,22.0752,-159.319,82.72,broken clouds,72,75,12.66,US
14,Kimbe,-5.5502,150.1429,77.5,overcast clouds,87,100,2.28,PG
15,Traverse City,44.7631,-85.6206,26.8,overcast clouds,77,100,12.66,US
16,Arraial Do Cabo,-22.9661,-42.0278,73.36,broken clouds,88,75,17.27,BR
17,Butaritari,3.0707,172.7902,81.21,scattered clouds,78,27,16.93,KI
18,Tautira,-17.7333,-149.15,79.7,broken clouds,81,61,18.7,PF
19,Gat,31.61,34.7642,64.4,broken clouds,54,74,1.92,IL
20,Newcastle,-32.9272,151.7765,68.65,overcast clouds,80,100,4.61,AU
21,Busselton,-33.65,115.3333,61.25,overcast clouds,73,97,14.52,AU
22,Punta Arenas,-53.15,-70.9167,51.91,light rain,40,20,31.07,CL
23,Saldanha,-33.0117,17.9442,60.85,overcast clouds,73,99,23.42,ZA
24,Hermanus,-34.4187,19.2345,54.81,broken clouds,67,66,6.73,ZA
25,Coquimbo,-29.9533,-71.3436,64.13,few clouds,72,20,10.36,CL
26,Benghazi,32.1167,20.0667,63.86,clear sky,56,0,17.18,LY
27,Medicine Hat,50.0501,-110.6683,22.21,few clouds,69,20,11.5,CA
28,Hualmay,-11.0964,-77.6139,70.03,scattered clouds,74,34,8.75,PE
29,San Patricio,28.017,-97.5169,75.29,overcast clouds,83,100,8.32,US
